


2025-01-31,A&W,13.59,Courtney Lunch,Food,5,CIBC MC
2025-01-31,WalMart,31.66,A & L Socks; GF Cereal,Other,5,CIBC MC
2025-01-31,Shell,60.95,Gas - Van,Gas,5,CIBC MC
2025-02-01,Joliet,20,February Money,Other,1,Debit
2025-02-01,Palladium Orthodontics,152.5,Amara Braces 9 (305),Other,1,CIBC MC
2025-02-01,Leighsa Chalmers,150,Opperman Kids Trust Fund,Other,1,Debit
2025-02-01,Giacinto's Barber Shop,33.9,Spencer Haircut,Other,1,CIBC MC
2025-02-01,Spencer,32,Groceries & Subway,Other,1,Debit
2025-02-01,Kanata Learning Centre,52.5,Amara & Linden Tutoring (525),Other,1,PCF MC
2025-02-02,Koodo,11.3,Streaming Bill,Other,1,CIBC MC
2025-02-02,Sobeys,22.18,Groceries,Other,1,PCF MC
2025-02-03,McDonald's,8.78,Melissa Lunch,Food,1,CIBC MC
2025-02-03,Carp Chiro,22.6,"M, L, A & J Adjustments (226)",Other,1,CIBC MC
2025-02-04,Shutterflycanada.ca,16.74,Photos,Other,1,CIBC MC
2025-02-04,Metro,10.32,Pop and Pepper,Other,1,PCF MC
2025-02-05,Rogers,73.44,Internet Bill,Other,1,Debit
2025-02-06,The Bungalow Studio,30,Linden Haircut,Other,1,Cash
2025-02-07,Joliet,10,Canal Snacks,Other,1,Cash
2025-02-07,March Road Pet Food,150.67,Triton & Tippy Foods,Other,1,PCF MC
2025-02-07,ESSO,78.9,Gas - Van,Gas,1,PCF MC
2025-02-08,Koodo,290.42,Cell Phones (-12),Other,2,CIBC MC
2025-02-09,Costco,405.32,Groceries; Pharmacy; T Dentals,Other,2,CIBC MC
2025-02-09,Walmart,140.87,Groceries; Cards; Iron Pan; S,Other,2,PCF MC
2025-02-09,Sobeys,15.08,S Groceries,Other,2,PCF MC
2025-02-11,Shell,62.35,Gas - Car,Gas,2,CIBC MC
2025-02-11,Liam Moore,57,Bday $$,Other,2,Cheque
2025-02-11,Shoppers Drug Mart,6.15,Valentine's Day,Other,2,CIBC MC
2025-02-12,Loblaws,267.85,Groceries; Amie Bday; Turner,Other,2,PCF MC
2025-02-12,Grace In The Kitchen,69.37,Gifts; GF Grocery; B. Paper,Other,2,PCF MC
2025-02-12,Bestbuy.ca,178.49,Amara Chromebook (508.49),Other,2,CIBC MC
2025-02-12,Chapters,54.99,Ann & Julie Books,Other,2,PCF MC
2025-02-14,407etr.com,35.13,"Hwy 407 - Dec. 23, 2024",Other,2,CIBC MC
2025-02-14,Terra Flora,29,Amie Earrings & Chocolate,Other,2,CIBC MC
2025-02-14,Canadian Tire,45.19,T-Fal Frying Pan,Other,2,CIBC MC
2025-02-14,Domino's Pizza,36.48,Supper,Food,2,CIBC MC
2025-02-14,nzbfinder.ws,22.11,Annual payment,Other,3,CIBC MC
2025-02-14,Home Depot,112.99,Google Streamer,Other,3,CIBC MC
2025-02-15,HSMP,16.89,Alarm System Monitoring,Other,3,PCF MC
2025-02-15,WCSOPA,300.03,Joliet Comp Team 8,Other,3,Cheque
2025-02-15,Gatineau Loppet,5.6,Hot Chocolate & Cupcake,Food,3,Cash
2025-02-15,Subway,19.28,Joliet & Melissa Lunch,Food,3,CIBC MC
2025-02-18,Uber Eats (My Thai Village),106.62,Ann & Melissa Lunch,Food,3,PCF MC
2025-02-18,Carp Chiro,5.9,Spencer Adjustment (59),Other,3,PCF MC
2025-02-19,Hydro One,216.27,Hydro Bill,Other,3,Debit
2025-02-19,Fongo,2.2,Landline 911 Service,Other,3,PCF MC
2025-02-19,Julie Watson,12,Melissa Massage (120),Other,3,Debit
2025-02-19,Bobbi Coady,80,Amara Tutoring,Other,3,Debit
2025-02-19,Costco,491.89,Groceries; S Underwear; Propane,Other,3,CIBC MC
2025-02-20,Dell Refurbished,437.72,New Mini PC,Other,3,PCF MC
2025-02-21,Shell,77.84,Gas - Van,Other,3,PCF MC
